Techstack,Links
"LangGraph, Google Gemini, Playwright, Python, GenAI Agent","https://github.com/kabhay0120/ai-testing-agent"
"Whisper, LangChain, Hugging Face Transformers, Python, Speech-to-Text","https://github.com/kabhay0120/lecture-to-notes"
"LangChain, Google Gemini, FastAPI, Prompt Engineering, Cold Email Generator","https://github.com/kabhay0120/cold-email-generator"
"Python, Scikit-learn, Random Forest, XGBoost, Geological Data Analysis","https://github.com/kabhay0120/lithology-prediction"
"Python, Scikit-learn, K-Means Clustering, Electro-facies Identification","https://github.com/kabhay0120/well-log-analysis"
"LangChain, LangGraph, RAG, FAISS, Vector Search, AI Agent Workflows","https://github.com/kabhay0120"
"Machine Learning, PyTorch, TensorFlow, Neural Networks, Hyperparameter Tuning","https://github.com/kabhay0120"
"MLOps, MLflow, FastAPI, Docker, AWS, Git, GitHub","https://github.com/kabhay0120"
"Python, SQL, Pandas, NumPy, EDA, Matplotlib, Data Analytics","https://github.com/kabhay0120"
"MongoDB, ChromaDB, FAISS, Vector Store Management","https://github.com/kabhay0120"
